State,St,Clinton,Trump,Others,State EV,Declared,Clinton EV,Trump EV,Population
Alabama,AL,725704,1314431,73828,9,Decided,0,9,4858979
Alaska,AK,93007,130415,30202,3,Decided,0,3,738432
Arizona,AZ,1096138,1191766,131041,11,Decided,0,11,6828065
Arkansas,AR,378759,682062,64861,6,Decided,0,6,2978204
California,CA,6250133,3334996,543995,55,Decided,55,0,39144818
Colorado,CO,1310078,1182727,233026,9,Decided,9,0,5456574
Connecticut,CT,893172,670105,73379,7,Decided,7,0,3590886
Delaware,DE,235581,185103,20851,3,Decided,3,0,945934
District of Columbia,DC,260223,11553,14499,3,Decided,3,0,672228
Florida,FL,4501455,4615910,298273,29,Decided,0,29,20271272
Georgia,GA,1872124,2086856,124909,16,Decided,0,16,10214860
Hawaii,HI,266828,128816,33183,4,Decided,4,0,1431603
Idaho,ID,190383,410269,91564,4,Decided,0,4,1654930
Illinois,IL,3034833,2125421,281482,20,Decided,20,0,12859995
Indiana,IN,1036426,1556122,137466,11,Decided,0,11,6619680
Iowa,IA,651246,799360,110872,6,Decided,0,6,3123899
Kansas,KS,414788,656009,76348,6,Decided,0,6,2911641
Kentucky,KY,628834,1202942,91570,8,Decided,0,8,4425092
Louisiana,LA,779808,1178459,70217,8,Decided,0,8,4649676
Maine,ME,354873,334878,51239,4,Decided,3,1,1329328
Maryland,MD,1552178,901469,148784,10,Decided,10,0,6006401
Massachusetts,MA,1964433,1082521,183619,11,Decided,11,0,6794422
Michigan,MI,2266122,2279202,242806,16,Undecided,0,0,9922576
Minnesota,MN,1367838,1323239,254296,10,Decided,10,0,5489594
Mississippi,MS,461105,675842,13757,6,Decided,0,6,2992333
Missouri,MO,1054889,1585753,147380,10,Decided,0,10,6083672
Montana,MT,174461,274119,36467,3,Decided,0,3,1032949
Nebraska,NE,273185,485372,45914,5,Decided,0,5,1896190
Nevada,NV,537753,511319,73918,6,Decided,6,0,2890845
New Hampshire,NH,348484,345783,37664,4,Decided,4,0,1330608
New Jersey,NJ,2061548,1558839,117624,14,Decided,14,0,8958013
New Mexico,NM,383401,317310,92894,5,Decided,5,0,2085109
New York,NY,4149500,2639994,323624,29,Decided,29,0,19795791
North Carolina,NC,2162909,2339922,186191,15,Decided,0,15,10042802
North Dakota,ND,93526,216133,33666,3,Decided,0,3,756927
Ohio,OH,2317001,2771984,236410,18,Decided,0,18,11613423
Oklahoma,OK,420375,949136,83481,7,Decided,0,7,3911338
Oregon,OR,970563,761130,207985,7,Decided,7,0,4028977
Pennsylvania,PA,2844705,2912941,212461,20,Decided,0,20,12802503
Rhode Island,RI,250242,179447,30870,4,Decided,4,0,1056298
South Carolina,SC,855369,1155391,92265,9,Decided,0,9,4896146
South Dakota,SD,117442,227701,24904,3,Decided,0,3,858469
Tennessee,TN,869189,1521162,100448,11,Decided,0,11,6600299
Texas,TX,3868291,4683352,383075,38,Decided,0,38,27469114
Utah,UT,250981,419031,235473,6,Decided,0,6,2995919
Vermont,VT,178572,95362,39796,3,Decided,3,0,626042
Virginia,VA,1970167,1766823,231280,13,Decided,13,0,8382993
Washington,WA,1562453,1089629,208202,12,Decided,12,0,7170351
West Virginia,WV,187457,486198,34571,5,Decided,0,5,1844128
Wisconsin,WI,1382210,1409467,152943,10,Decided,0,10,5771337
Wyoming,WY,55964,174383,18545,3,Decided,0,3,586107
